,Numero_linea_1,Catalogo_1,Clasificacion,Identificacion,Año,Dia,Fraccion_dia,Signo_derivada_1,Derivada_1,Signo_derivada_2,Derivada_2,Exponente,Signo_BSTAR,BSTAR,Exponente_BSTAR,Efemerides,Numero_elemento,Checksum_1,Numero_linea_2,Catalogo_2,Inclinacion,Ascencion,Excentricidad,Perigeo,Anomalia_media,Revoluciones_dia,Revoluciones_epoch,Checksum_2,Periodo,Semieje_mayor,Semieje_menor
1520,1,44405,U,19038V,23,334,.71173958, ,.00147215, ,00000,+0, ,22806,-2,0, 999,3,2,44405,97.6525,323.9066,0.0018802,48.9846,311.3028,15.53314762,24428.0,5,5562.2982613488,6785.1948692333,6785.1722499329
1521,1,44406,U,19038W,23,334,.43995119, ,.00030259, ,00000,+0, ,10154,-2,0, 999,6,2,44406,97.6962,318.3095,0.0019416,82.5255,277.819,15.30646148,24369.0,2,5644.6749702989,6852.0223279974,6851.9994859192
1522,1,44407,U,19038X,23,334,.53841370, ,.00064406, ,00000,+0, ,15300,-2,0, 999,6,2,44407,97.6686,320.7901,0.0017372,71.9743,288.3394,15.41297095,24396.0,0,5605.6681272081,6820.4191456549,6820.3964089299
1523,1,44408,U,19038Y,23,333,.51611575, ,.00012097, ,00000,+0, ,53106,-3,0, 999,2,2,44408,97.6998,312.8596,0.0021462,100.4861,259.8794,15.21887625,24331.0,1,5677.1602962472,6878.2862813852,6878.2633517529
1524,1,44409,U,19038Z,23,334,.50417774, ,.00156042, ,00000,+0, ,21904,-2,0, 999,7,2,44409,97.6454,325.1177,0.0017943,45.5546,314.7172,15.560058,24436.0,1,5552.6785311469,6777.3694980791,6777.3469048655
1525,1,44411,U,19038A,23,333,.97504978, ,.00190426, ,00000,+0, ,25114,-2,0, 999,4,2,44411,97.6449,325.4601,0.0019352,63.6894,296.6346,15.57543069,24394.0,5,5547.1981301597,6772.9093305123,6772.8867521673
1526,1,44412,U,19038A,23,334,.49315866, ,.00063845, ,00000,+0, ,14585,-2,0, 999,3,2,44412,97.6857,322.0518,0.0015563,74.0986,286.1975,15.42507221,24367.0,3,5601.2703748633,6816.8515141249,6816.8287892931
1527,1,44413,U,19038A,23,334,.51093464, ,.00068819, ,00000,+0, ,15214,-2,0, 999,0,2,44413,97.6628,321.0944,0.0017591,62.7637,297.54,15.43428294,24401.0,3,5597.9277000348,6814.1391788355,6814.1164630456
1528,1,44415,U,19022E,23,334,.38044162, ,.00084262, ,00000,+0, ,83772,-3,0, 999,6,2,44415,51.6311,28.4907,0.0003438,233.5365,126.5314,15.64999578,24217.0,3,5520.7682618302,6751.3789954591,6751.3564888882
1529,1,44419,U,19038F,23,333,.96523146, ,.00066023, ,00000,+0, ,15091,-2,0, 999,7,2,44419,97.6837,322.6179,0.0015084,73.4152,286.875,15.42488751,24397.0,0,5601.3374453452,6816.9059313759,6816.8832063627
1530,1,44422,U,19039B,23,334,.82566248, ,.00067695, ,00000,+0, ,38319,-2,0, 999,2,2,44422,97.6977,21.0577,0.0005135,68.5188,291.6589,15.12743485,23873.0,8,5711.4772502226,6905.9767294466,6905.9537075047
1531,1,44424,U,19039D,23,334,.77511235, ,.00007799, ,00000,+0, ,53256,-3,0, 999,1,2,44424,97.6989,36.6678,0.0058303,2.6832,357.4696,15.05062213,23937.0,3,5740.6264839897,6929.4537948448,6929.4306946391
1532,1,44449,U,19045A,23,334,.80729687, ,.00005574, ,00000,+0, ,52095,-3,0, 999,0,2,44449,34.9924,197.9219,0.0002892,122.2346,237.8639,14.93561763,23716.0,9,5784.8294017956,6964.9795721694,6964.9563535341
1533,1,44450,U,19045B,23,334,.78342331, ,.00005453, ,00000,+0, ,50939,-3,0, 999,7,2,44450,34.9915,197.6405,0.0010626,272.4675,87.4813,14.93543405,23716.0,8,5784.900506457,6965.0366457625,6965.0134269369
1534,1,44451,U,19045C,23,334,.76304527, ,.00005582, ,00000,+0, ,52164,-3,0, 999,6,2,44451,34.9925,197.6087,0.0001962,295.7817,64.2686,14.93563291,23712.0,7,5784.8234835868,6964.974821789,6964.9516031695
1535,1,44453,U,19046A,23,333,.57241949, ,.00000269, ,00000,+0, ,00000,+0,0, 999,0,2,44453,62.6794,158.4799,0.6722679,273.7443,17.8176,2.00579761,3175.0,1,43075.1335873812,26558.9294368858,26558.8408993544
1536,1,44457,U,19048A,23,334,.10834542, ,.00000090, ,00000,+0, ,00000,+0,0, 999,5,2,44457,0.0278,93.0459,8.87e-05,304.3331,82.3615,1.00274643,1590.0,0,86163.3583676783,42163.943409193,42163.802850385
1537,1,44475,U,19049A,23,333,.72341903, ,.00000163, ,00000,+0, ,00000,+0,0, 999,8,2,44475,0.0826,257.9979,5.71e-05,10.8859,91.1256,1.00275088,1586.0,9,86162.9759926015,42163.8186658889,42163.6781074968
1538,1,44476,U,19049B,23,333,.76014821, ,.00000042, ,00000,+0, ,00000,+0,0, 999,5,2,44476,0.0158,316.8931,5.8e-05,199.2965,247.8036,1.00271319,1580.0,4,86166.2146879708,42164.8752288131,42164.7346668988
1539,1,44479,U,19050A,23,334,.10938969, ,.00000118, ,00000,+0, ,00000,+0,0, 999,1,2,44479,0.0158,38.9784,0.0001824,216.2349,229.9256,1.00274771,1585.0,8,86163.2483807916,42163.9075278784,42163.7669691901
1540,1,44481,U,19051A,23,334,.11669962, ,.00000093, ,00000,+0, ,00000,+0,0, 999,2,2,44481,3.1463,305.6057,0.0049208,355.1657,224.4921,1.0027333,1592.0,1,86164.4866087523,42164.3114773981,42164.1709173631
1541,1,44495,U,19054A,23,334,.64762031, ,.00014359, ,00000,+0, ,70467,-3,0, 999,7,2,44495,45.0148,61.2522,0.0007544,43.0758,317.0711,15.18033194,23651.0,7,5691.5751474668,6889.924442857,6889.9014744274
1542,1,44497,U,19054C,23,334,.62059820, ,.00022260, ,00000,+0, ,94459,-3,0, 999,9,2,44497,45.0065,51.2454,0.000556,46.4076,313.7266,15.22775518,23657.0,8,5673.8500835289,6875.6123149714,6875.5893942531
1543,1,44498,U,19054D,23,334,.52076812, ,.00022516, ,00000,+0, ,94264,-3,0, 999,7,2,44498,45.0064,48.0454,0.0007138,41.6859,318.4565,15.23218344,23662.0,1,5672.2005968699,6874.2796772028,6874.256760927
1544,1,44499,U,19054E,23,334,.47937975, ,.00015913, ,00000,+0, ,65478,-3,0, 999,6,2,44499,45.0073,7.6755,0.0010089,106.8391,253.3598,15.23988633,23709.0,1,5669.3336242226,6871.9631121609,6871.9402036076
1545,1,44506,U,19056A,23,333,.53010941,-,.00000100, ,00000,+0, ,00000,+0,0, 999,7,2,44506,55.8315,8.0268,0.0038681,189.685,332.9824,2.00567502,3140.0,1,43077.7664070424,26560.0116414507,26559.9231003117
1546,1,44517,U,19057A,23,334,.77101827, ,.00000004, ,00000,+0, ,42004,-4,0, 999,8,2,44517,99.2436,344.3607,0.0016502,124.1275,236.1449,13.85883738,21513.0,4,6234.2891853747,7321.2309259333,7321.2065196893
1547,1,44519,U,19058A,23,334,.79246529, ,.00031514, ,00000,+0, ,21551,-2,0, 999,4,2,44519,97.7958,345.4366,0.0013007,171.6181,188.5265,15.0598956,23161.0,3,5737.0915639017,6926.608857964,6926.5857672423
1548,1,44520,U,19058B,23,334,.77089467, ,.00003895, ,00000,+0, ,39230,-3,0, 999,5,2,44520,97.7924,339.3881,0.0011051,190.4577,169.6414,14.91700792,23122.0,2,5792.0462644629,6970.7711408792,6970.7479029369
1549,1,44528,U,19059A,23,334,.82249609, ,.00000583, ,00000,+0, ,21803,-3,0, 999,4,2,44528,98.4337,47.0378,0.0001697,76.4792,283.6583,14.35396323,22101.0,6,6019.243508958,7151.888776037,7151.8649343163
1550,1,44529,U,19059B,23,334,.77300214, ,.00001445, ,00000,+0, ,41663,-3,0, 999,3,2,44529,98.5308,77.1716,0.0012578,307.0596,52.9445,14.4614703,22254.0,5,5974.4962446868,7116.399788283,7116.3760648693
1551,1,44530,U,19059C,23,334,.61457680, ,.00009164, ,00000,+0, ,22710,-2,0, 999,5,2,44530,98.5646,85.2841,0.0011792,302.9809,57.0251,14.52094082,22277.0,0,5950.0276924894,7096.9563555885,7096.932696992
1552,1,44533,U,19022K,23,334,.44964562, ,.05016463, ,12206,-4, ,86488,-3,0, 999,5,2,44533,51.6054,346.335,0.0001593,26.96,333.1506,16.32181531,23660.0,6,5293.5288360397,6564.8226580616,6564.8007733997
1553,1,44534,U,19060A,23,334,.80764424, ,.00050413, ,00000,+0, ,11985,-2,0, 999,4,2,44534,97.4899,92.8457,0.0018446,30.6686,329.5634,15.41318479,23336.0,7,5605.5903550872,6820.356061924,6820.3333254093
1554,1,44536,U,19060C,23,334,.79452915, ,.00045027, ,00000,+0, ,11142,-2,0, 999,3,2,44536,97.4902,93.1771,0.001742,70.9496,289.3634,15.40151252,23337.0,1,5609.8386368094,6823.8015670433,6823.7788190426
1555,1,44537,U,19060D,23,334,.83435390, ,.00055221, ,00000,+0, ,12276,-2,0, 999,3,2,44537,97.4844,91.7998,0.0008585,47.2823,312.9146,15.43449734,23338.0,5,5597.8499394396,6814.0760753951,6814.0533598156
